District,School Name,UDISE Code,School Management,School Category,Notification Uploaded,Trees Planted,Tree Uploaded
AGRA,ACHHEYLAL RAM NARAYAN INTER COLLEGE  JARAR BAH AGRA,09150300211,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,ASHA RAM RATANLAL INTER COLLEGE BAH,09150300209,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,ASHARAM RAMNIWAS ADARSH I.C.BAH,09150301232,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,8,Yes
AGRA,BABA PADAM SINGH UMV BAH,09150300212,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,"BHADAWAR V.M. INTER COLLEGE, BAH",09150301234,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,BHAGWATI VIDYAPEETH INTER COLLEGE BHADRAULI BAH AGRA,09154102277,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,CHAUDARY CAPTAN SINGH KANYA INTER COLLEGE VIKRAMPUR BAH AGRA,09150308103,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,CHHOTE SINGH CHAUHAN INTER COLLEGE RUDMULI BAH AGRA,09150308005,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,"DAMODAR INTER COLLEGE,HOLIPURA",09150301703,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,125,Yes
AGRA,GOVT HSS BATESHWAR BAH,09150302904,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,38,Yes
AGRA,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,09150301240,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,82,Yes
AGRA,GURU DAYAL SINGH MEMORIAL INTER COLLEGE BIJAKAULI BATESHWAR AGRA,09150302903,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,HARPRASAD RAJARAM ADARSH I.C.BAH,09150301233,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,3,Yes
AGRA,J N INTER COLLEGE VIJAY GARI ROAD GOPALPURA BHADRAULI BAH AGRA,09150301504,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,KANCHAN CONVENT HSS MUKUNDI PURA AGRA,09154102292,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,"LAKHAN SINGH INTER COLLEGE,CHANGOLI BAH AGRA",09150304402,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,N D JAIN SCHOOL BAH AGRA,09150301244,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,PDT.KASHI DAYAL ADARSH J.H.S.B,09150301213,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,POOJA PUBLIC SCHOOL,09150302007,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,R B ACADEMY,09154102267,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,"R.C.S.ADARSH SCHOOL,PURA NEEMDANDA",09150310502,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,RAM SAHAI VERMA J.H.S.BASAUNI,09150303303,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SANT SHRI BRAJ KISHOR DAS KANYA INTER COLLEGE  BIJOLI BAH AGRA,09150301302,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,SHIV SINGH SAHAB SINGH JADON HSS INDRAYANI BAH AGRA,09150306803,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SHRI DAYAL SINGH HSS  KHOD BAH AGRA,09150301224,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,SHRI GOLESHWAR HARIBHAJAN UMV BAH,09150309203,Private Unaided Recognized,Secondary only (9–10),No,6,Yes
AGRA,SMT URMILA DEVI GABBAR SINGH INTER COLLEGE BAH AGRA,09150301246,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SMT VITOLI DEVI UMV PURA HARLAL BAMROLI BAH AGRA,09150309204,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,TRIVENI DEVI RESHAM DEVI KANYA INTER COLLEGE JARAR BAH AGRA,09150300210,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,A D INTERNATIONAL SCHOOL KAKRARI KAKUA DEORI RD AGRA,09150401604,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,ALL SAINTS SCHOOL,09150400305,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,ANGEL PUBLIC SCHOOL KAKUA GWALIOR ROAD AGRA,09150401806,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,ATAR SINGH PUB.SCH.DEVARI,09150401504,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,Adarsh Public Inter College  mahua Kheda tajganj Agra,09150405705,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,Adarsh sainik Inter College Miyapur Agra,09150405302,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,B B L HIGH SECONDARY SCHOOL BIJHAMAI BAROLI AHEER AGRA,09150405003,Private Unaided Recognized,Secondary only (9–10),Yes,0,No
AGRA,B P GAUTAM INTER COLLEGE,09150400118,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
AGRA,B R HIGH SCHOOL,09150400204,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,B.R.I INTER COLLEGE,09150406905,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,B.S. INTER COLLEGE CHAMROLI AGRA,09150400705,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,BABULAL MEMO INTER COLLEGE  BAAD AGRA,09150402603,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,BALUNI PUBLIC SCHOOL DEORI ROAD AGRA,09150401509,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,BANWARI LAL PUBLIC HS SCHOOL HINGOT KHERIA BAROLI AHEER AGRA,09150404704,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,BHAGWAN GAUTAMBUDH UMV ASHOK STATES SEVLA AGRA,09150400139,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,"BHAGWATI DEVI P.SHHOOL,KAKUA",09150401803,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
AGRA,BHARTIYA BAL VIDYA MANDIR SCHOOL BAGDA ROAD BAROLI AHEER ,09150400506,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,BHUPENDRA KANYA H SCHOOL,09150403610,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,CAPTAIN PODI MEMO INTER COLLEGE,09150409104,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,COLONELS BRIGHTLAND PUBLIC SCHOOL BAROLI AHEER AGRA,09150409603,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,D P INTER COLLEGE,09150400119,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,D.A.V.INTER COLLEGE KUNDOL,09150407602,Government Aided,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,DR. K.S INTER COLLGE KHEDIA BAMROLI KATARA,09150404703,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
AGRA,G.S U.M VIDHYALAYA CHAMROLI,09150400704,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,GAUTAM BUDDA INTER COLLEGE NAGLA MAKROL,09150403005,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,09150403204,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,357,Yes
AGRA,"GOVT. HIGH SCHOOL, GANGRAUA",09150401704,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,76,Yes
AGRA,GREEN FIELD HSS THAR NARAYAN SINGH ,09150400137,Private Unaided Recognized,Secondary only (9–10),No,5,Yes
AGRA,GYAN BHARTI GIRLS INTER COLLEGE,09150400117,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,GYAN BHARTI INTER COLLEGE,09150400115,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,INDIAN ERA PUBLIC SCHOOL DEVI PURAM KAHRAI ROAD AGRA,09150400307,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,J J S  PUBLIC SCHOOL KAKARARI KAKUA BAROLI AHIR AGRA,09150401605,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,JAY HANUMAN INTER COLLEGE NARENDRA NAGAR SHYAMON AGRA,09150403611,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
