#,School Name,District,Block Name,UDISE ID
108256,UPS BASWARA,ETAWAH,BARHPURA,9310503702
108257,UPS BASWARI,KANNAUJ,HASERAN,9300605302
108258,UPS BASYEDEEH COMPOSITE (1TO8),SITAPUR,KASMANDA,9240610502
108259,UPS BATHUA COMPOSIT (1 To 8),KHERI,NIGHASAN,9230911601
108260,UPS BAUDHI KHURD COMPOSIT (1 TO 8),KHERI,MOHAMMADI,9230714202
108261,UPS BAUKHAR,HAMIRPUR (U.P.),SARILA,9380706604
108262,UPS BAURI,CHANDAULI,NIYAMATABAD,9660802001
108263,UPS BAURIBOJH,BHADOI,ABHOLI,9710701803
108264,UPS BAURIYAN PURWA,KANPUR NAGAR,SARSAUL,9340107001
108265,UPS BAURVYAS COMPOSITE,SANT KABIR NAGAR,BAGHAULI,9561602202
108266,UPS BAVASA,ETAH,NIDHAULI KALAN,9170909002
108267,UPS BAWAKKARPUR COMPOSIT (1 TO 8),KHERI,KUMBHI-GOLA,9230502803
108268,UPS BAWALI (COMPOSITE),JALAUN,NADIGAWN,9350806502
108269,UPS BAWAN,KANPUR NAGAR,GHATAMPUR,9340904503
108270,UPS BAYARA COMPOSITE,SANT KABIR NAGAR,KHALILABAD,9561504502
108271,UPS BAZIDPUR,ALIGARH,JAWAN,9120604202
108272,UPS BEDIPUR,KANPUR NAGAR,BILHAUR,9340602904
108273,UPS BEDORA COMPOSITE (1TO8),SITAPUR,PARSENDI,9241401902
108274,UPS BEECH KI MADAIYA,FIROZABAD,SHIKOHABAD,9160201902
108275,UPS BEENA,ETAWAH,BASREHAR,9310301502
108276,UPS BEER PUR,PRAYAGRAJ,KARCHHANA,9451801901
108277,UPS BEERUWALA,BIJNOR,NAJIBABAD,9031008706
108278,UPS BEESALPUR COMPOSIT,AURAIYA,AJITMAL,9320208502
108279,UPS BEGUM PUR,PRAYAGRAJ,BHAGWATPUR,9451401802
108280,UPS BEHARA JORAVAR,KHERI,PASGAWAN,9231400503
108281,UPS BEHATA COMPOSIT (1 TO 8),KHERI,ISANAGAR,9230405204
108282,UPS BEHATA GOPI,UNNAO,BIGHAPUR,9261506602
108283,UPS BEHDA COMPOSITE (1 To 8),KHERI,LAKHIMPUR,9230601402
108284,UPS BEHJAM COMPOSITE (1 To 8),KHERI,BEHJAM,9230208204
108285,UPS BEHLOLPUR,UNNAO,GANGMURADABAD,9260102402
108286,UPS BEHMA COMPOSITE (1TO8),SITAPUR,PAHALA,9241307203
108287,UPS BEHRABAD ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,ATRAULI,9120308302
108288,UPS BEHRAM PUR,ALIGARH,JAWAN,9120611002
108289,UPS BEHTA KACHCHH,UNNAO,GANGMURADABAD,9260101302
108290,UPS BEHTA KALAN,RAE BARELI,LALGANJ,9282006803
108291,UPS BEHTI AFGAN COMPOSITE (1 To 8),KHERI,MOHAMMADI,9230704602
108292,UPS BEHTI JAGIR,BAREILLY,KYARA,9200800402
108293,UPS BEHUNTA,KANPUR NAGAR,PATARA,9341007401
108294,UPS BEL COMPOSIT(1 To 8),KHERI,LAKHIMPUR,9230609402
108295,UPS BELA,AURAIYA,BIDHUNA,9320503603
108296,UPS BELA,VARANASI,CHOLAPUR,9670611401
108297,UPS BELA BHELA,RAE BARELI,RAHI,9280100802
108298,UPS BELA BOJHI COMPOSIT (1 TO 8),KHERI,KUMBHI-GOLA,9230500301
108299,UPS BELA PURWA,BANDA,BISANDA,9400601816
108300,UPS BELA TEKAI,RAE BARELI,RAHI,9280101802
108301,UPS BELADEEH COMPOSITE,SANT KABIR NAGAR,KHALILABAD,9561520201
