District,School,Block,UDISE ID,Saplings
AGRA,ASHARAM RAMNIWAS ADARSH I.C.BAH,BAH,09150301232,8
AGRA,HARPRASAD RAJARAM ADARSH I.C.BAH,BAH,09150301233,3
AGRA,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,BAH,09150301240,82
AGRA,''GOPALPURA,BAH,09150301501,1
AGRA,J.H.S.GOPALPURA (COMPOSITE),BAH,09150301503,1
AGRA,P. S FARAIRI,BAH,09150301601,2
AGRA,J.H.S.AAM KA PURA (FARERI) (COMPOSITE),BAH,09150301603,1
AGRA,P.S HOLIPURA,BAH,09150301701,2
AGRA,"DAMODAR INTER COLLEGE,HOLIPURA",BAH,09150301703,125
AGRA,J.H.S.KHARAGPURA (COMPOSITE),BAH,09150301902,1
AGRA,P.S BHADROLI,BAH,09150302001,7
AGRA,J.H.S.RAMPUR CHANDRASAINI (COMPOSITE),BAH,09150302302,3
AGRA,J.H.S.KALINJER (COMPOSITE),BAH,09150302402,3
AGRA,P.S FARERA,BAH,09150302601,5
AGRA,J.H.S.FARERA,BAH,09150302602,3
AGRA,J.H.S.VERIYAN PURA,BAH,09150302603,3
AGRA,J.H.S.NAGLA BAGH,BAH,09150302604,1
AGRA,''BIJKOLI,BAH,09150302701,1
AGRA,J.H.S.BIJKOLI (COMPOSITE),BAH,09150302702,2
AGRA,P.S MAI,BAH,09150302801,2
AGRA,J.H.S.MAI,BAH,09150302802,1
AGRA,P.S BATESHWAR,BAH,09150302901,1
AGRA,J.H.S.BATESHWAR,BAH,09150302902,3
AGRA,GOVT HSS BATESHWAR BAH,BAH,09150302904,38
AGRA,P.S.BUDHERA,BAH,09150303001,1
AGRA,J.H.S.KHILLI (COMPOSITE),BAH,09150303102,2
AGRA,J.H.S.PURA CHUNNI,BAH,09150303202,1
AGRA,J.H.S.BASAUNI,BAH,09150303302,6
AGRA,P.S GURNA BASAUNI,BAH,09150303401,1
AGRA,P.S LAKHANPURA,BAH,09150303501,3
AGRA,J.H.S.LAKHANPURA KHALSA,BAH,09150303502,1
AGRA,J.H.S.PADKOLI (COMPOSITE),BAH,09150303503,19
AGRA,P.S HAZARPURA,BAH,09150303801,1
AGRA,P.S KUNWARKHERA,BAH,09150303901,2
AGRA,J.H.S.KUWAR KHERA,BAH,09150303902,1
AGRA,P.S PURA RATIRAM,BAH,09150304101,1
AGRA,P.S GUNGAWALI,BAH,09150304201,5
AGRA,J.H.S.GUNGAWALI,BAH,09150304202,1
AGRA,P.S ABHAYPURA,BAH,09150304301,3
AGRA,P.S CHANGOLI,BAH,09150304401,2
AGRA,P.P.BASANTIPURA,BAH,09150304403,1
AGRA,J.H.S.RAINKA,BAH,09150304404,5
AGRA,P.S RAIKA,BAH,09150304501,2
AGRA,P.S CHAMRAUA,BAH,09150304601,2
AGRA,J.H.S.CHAMRAUA,BAH,09150304602,4
AGRA,J.H.S.NEEMDANDA (COMPOSITE),BAH,09150304902,1
AGRA,P.S PURA HARLAL,BAH,09150305001,3
AGRA,J.H.S.PURA HARLAL,BAH,09150305002,5
AGRA,P.S PURA BARUA,BAH,09150305101,1
AGRA,P.S PURA CHUNNILAL,BAH,09150305201,1
AGRA,P.S PURA CHAKRAPAN,BAH,09150305301,1
AGRA,P.S PURA MUKANDI,BAH,09150305401,1
AGRA,P.S PURA TAL,BAH,09150305501,1
AGRA,P.S PURA BHADORIA,BAH,09150305601,1
AGRA,J.H.S.PURA BHAGWAN (COMPOSITE),BAH,09150305802,1
AGRA,J.H.S.PURA BAGHRAJ (COMPOSITE),BAH,09150306002,1
AGRA,J.H.S.SIMRAHI,BAH,09150306102,1
AGRA,P.S GUDHA,BAH,09150306201,1
AGRA,P.S SHANTI NAGAR,BAH,09150306301,2
AGRA,P.S BERRI,BAH,09150306501,1
AGRA,J.H.S.SILPOLI (COMPOSITE),BAH,09150306602,1
AGRA,P.S PURA KANERA,BAH,09150306701,2
AGRA,P.S MIDKOLI,BAH,09150307001,1
AGRA,J.H.S.RAJPURA (COMPOSITE),BAH,09150307102,4
AGRA,P.S KANERA,BAH,09150307201,1
AGRA,J.H.S.SUNSAR (COMPOSITE),BAH,09150307402,1
AGRA,P.S KOT,BAH,09150307501,2
AGRA,J.H.S.KOT KA PURA (COMPOSITE),BAH,09150307502,1
AGRA,P.S JATAVPURA,BAH,09150307701,2
AGRA,J.H.S.SIDHAVALI,BAH,09150307802,3
AGRA,P.S HIGOT KHERA,BAH,09150307901,7
AGRA,J.H.S.HIGOT KHERA,BAH,09150307902,10
AGRA,J.H.S.RUDMALI,BAH,09150308003,2
AGRA,P.S VIKRAMPUR,BAH,09150308101,3
AGRA,J.H.S.VIKRAMPUR,BAH,09150308102,3
AGRA,P.S EMANPURA,BAH,09150308201,1
AGRA,P .S BAH DEHAT,BAH,09150308301,1
AGRA,P.P.SYAICH,BAH,09150308401,1
AGRA,J.H.S.SYAICH,BAH,09150308402,3
AGRA,P.S DHOBAI,BAH,09150308601,2
AGRA,P.P.PURA JHAULAL,BAH,09150308701,1
AGRA,J.H.S.MANGADPUR,BAH,09150308801,11
AGRA,J.H.S.SANNPURA (COMPOSITE),BAH,09150309102,11
AGRA,SHRI GOLESHWAR HARIBHAJAN UMV BAH,,09150309203,6
AGRA,P.P.PURA TINNET,BAH,09150309301,1
AGRA,P.P.TODI KA PURA (TEDIPURA),BAH,09150309501,2
AGRA,P.P.PURA RAJARAM,BAH,09150309701,1
AGRA,P.P. GUHI,BAH,09150309801,1
AGRA,P.P. PURA PARWAT,BAH,09150309901,1
AGRA,J.H.S.PURA SHIVLAL (COMPOSITE),BAH,09150310002,9
AGRA,P.P.BAG KA PURA,BAH,09150310101,3
AGRA,P.P.AAM KA PURA,BAH,09150310201,1
AGRA,P.P.PURA KHUSHILAL,BAH,09150310401,1
AGRA,P.P.PURA NEEMDANDA,BAH,09150310501,1
AGRA,P.P.JHARNAPURA,BAH,09150310701,1
AGRA,P.P.RAMDAYAL KI THAR,BAH,09150310901,2
AGRA,P.P.KALYANPURA,BAH,09150311201,1
AGRA,P.P.KALYANPUR BHARTAR-1,BAH,09150311401,6
AGRA,J.H.S.NAGU PURA (COMPOSITE),BAH,09150311502,1
AGRA,P.P PURA GIRIND,BAH,09150311601,1
AGRA,P.P TUBELL PURA,BAH,09150311701,1
AGRA,P.P IMLI PURA,BAH,09150311801,4
AGRA,P S RAGHU NATH PURA,BAH,09150311901,3
AGRA,P. S KEDAR PURA,BAH,09150312101,6
AGRA,P.P SAHAB RAIPURA,BAH,09150312201,1
AGRA,P.P TOKA,BAH,09150312301,2
AGRA,P.P MURLI PURA,BAH,09150312601,1
AGRA,P.P KANARI,BAH,09150312701,1
AGRA,P S KILA,BAH,09150312801,1
AGRA,P.P VIKRAM PUR GHAT,BAH,09150312901,3
AGRA,P.P VIKRAM PUR KACHAR,BAH,09150313001,2
AGRA,P.P VIDHYA RAM PURA,BAH,09150313201,1
AGRA,P.P PADUA PURA,BAH,09150313301,2
AGRA,P.P PATKAKUYAN PURA,BAH,09150313401,2
AGRA,P.P SUNSAR KA PURA,BAH,09150313501,1
AGRA,P.P ALBELI PURA,BAH,09150313601,7
AGRA,P.P PURA TEJ SINGH,BAH,09150313701,1
AGRA,P.P JODHPURA,BAH,09150313801,1
AGRA,P.P DADHUPURA,BAH,09150313901,1
AGRA,P.P PURA BAGHEL,BAH,09150314001,1
AGRA,P.S PURA KANTH,BAH,09150314101,1
AGRA,P.P PURA RAM LAL,BAH,09150314201,1
AGRA,P.P PURA KHUSH HAL,BAH,09150314301,1
AGRA,P.P KASA,BAH,09150314401,1
AGRA,J.H.S.BAROLI AHEER,BAROLI AHEER,09150400103,11
AGRA,G.J.H.S.BAROLI AHEER (COMPOSITE),BAROLI AHEER,09150400104,15
AGRA,M L HIGER SECONDARY SCHOOL FATEHABAD ROAD TAJGANJ AGRA,M.C.AGRA CITY,09150400111,1
AGRA,SMT LEELAVATI DEVI INTER COLLEGE ,,09150400136,4
AGRA,GREEN FIELD HSS THAR NARAYAN SINGH ,,09150400137,5
AGRA,P.P.NAGLA KALI,BAROLI AHEER,09150400201,33
AGRA,J.H.S.NAGLA KALI-2,BAROLI AHEER,09150400202,21
AGRA,P.P.KAHRAI,BAROLI AHEER,09150400301,1
AGRA,J.H.S.KAHRAI,BAROLI AHEER,09150400302,32
AGRA,P.P.RAJRAI,BAROLI AHEER,09150400401,50
AGRA,P.P.BAGDA,BAROLI AHEER,09150400501,37
AGRA,P.P.GUTILA-1,BAROLI AHEER,09150400601,2
AGRA,P.P.CHAMRAULI,BAROLI AHEER,09150400701,32
AGRA,P.P.NAUBARI,BAROLI AHEER,09150400801,2
AGRA,J.H.S.DIGNER,BAROLI AHEER,09150400903,36
AGRA,RAJKIYA HIGH SCHOOL DIGNER,BAROLI AHEER,09150400904,104
AGRA,P.P.BAJHERA,BAROLI AHEER,09150401001,1
AGRA,SHRI JAMUNA PRASAD UMV BAHETA DIGNER AGRA,BAROLI AHEER,09150401102,2
AGRA,J.H.S.SUJGAI (COMPOSITE),BAROLI AHEER,09150401202,11
AGRA,P.P.BISERA KALAN,BAROLI AHEER,09150401301,2
AGRA,P.P.GARHI RADDU,BAROLI AHEER,09150401401,6
AGRA,J.H.S.GARHI RADDU,BAROLI AHEER,09150401402,19
AGRA,J.H.S.DEVARI (COMPOSITE),BAROLI AHEER,09150401502,10
AGRA,P.P.NAGLA DEVARI,BAROLI AHEER,09150401506,1
AGRA,P.P.KAKRARI,BAROLI AHEER,09150401601,2
AGRA,J.H.S.KAKRARI,BAROLI AHEER,09150401602,17
AGRA,"GOVT. HIGH SCHOOL, GANGRAUA",BAROLI AHEER,09150401704,76
AGRA,P.P.KAKUA-2,BAROLI AHEER,09150401802,2
AGRA,J.HS.KAKUA,BAROLI AHEER,09150401805,1
AGRA,RAJENDRA SINGH INTER COLLEGE GARHI HARLAL RAMPURA AGRA,,09150401807,13
AGRA,P.P.BHOGALPURA,BAROLI AHEER,09150401901,6
AGRA,S.M.B.N.P.SCH.BHOGALPURA,BAROLI AHEER,09150401902,1
AGRA,P.P.BHANDAI,BAROLI AHEER,09150402001,1
AGRA,J.H.S.BHANDAI,BAROLI AHEER,09150402002,32
AGRA,J.H.S.SALEMABAD (COMPOSITE),BAROLI AHEER,09150402102,19
AGRA,P.P.KABOOLPUR,BAROLI AHEER,09150402201,31
AGRA,P.P.KHORI,BAROLI AHEER,09150402203,1
AGRA,P.P.NAGLA DAULTA,BAROLI AHEER,09150402204,3
AGRA,J.H.S.GARHI HARLAL (COMPOSITE),BAROLI AHEER,09150402302,1
AGRA,P.P.BHAHAI,BAROLI AHEER,09150402401,3
AGRA,P.P.NAGLA BHAHAI,BAROLI AHEER,09150402402,4
AGRA,J.HS.NAGLA SHISHIYA (COMPOSITE),BAROLI AHEER,09150402502,13
AGRA,J.H.S.BAAD (COMPOSITE),BAROLI AHEER,09150402602,26
AGRA,J.H.S.KUTHAWALI (COMPOSITE),BAROLI AHEER,09150402702,2
AGRA,P.P.NAGLA KUTHAWALI,BAROLI AHEER,09150402801,4
AGRA,P.P.ROHTA-2,BAROLI AHEER,09150402902,9
AGRA,G.J.H.S.ROHTA (COMPOSITE),BAROLI AHEER,09150402904,1
AGRA,P.P.ITAURA,BAROLI AHEER,09150403001,5
