#,School Name,District,Block Name,School Type,UDISE ID
33701,P S DEVIPURA,BAREILLY,RICHHA(DAMKHODA),N/A,9200506701
33702,P S DEVIPURA M BHOGPUR,BAREILLY,RICHHA(DAMKHODA),N/A,9200502203
33703,P S DEVKARAN PUR,ETAH,JALESAR,N/A,9170607801
33704,P S DEVKHARI,MAU,RANIPUR,N/A,9620606501
33705,P S DEVLAR,AMBEDKAR NAGAR,JAHANGIRGANJ,N/A,9480708701
33706,P S DEVLAS,MAU,MOHAMMADABAD,N/A,9620206509
33707,P S DEVNATHPUR,MAU,DOHRIGHAT,N/A,9620304402
33708,P S DEVPUR,BALLIA,CHILKAHAR,N/A,9630408105
33709,P S DEVTARA,ETAH,ALIGANJ,N/A,9170106001
33710,P S DEWALI,PRATAPGARH,LAXMANPUR,N/A,9430902901
33711,P S DEWARIHRDOPATTI,PRATAPGARH,BIHAR,N/A,9430303701
33712,P S DEWASHIPUR,MAU,FATEHPUR MANDAON,N/A,9620805902
33713,P S DEWDEEH,BALLIA,BANSDEEH,N/A,9630900401
33714,P S DEWKALI,BALLIA,HANUMANGANJ,N/A,9631304701
33715,P S DEWKALI,MAU,KOPAGANG,N/A,9620903901
33716,P S DHAK KE POKHARI JAM,BALLIA,RASARA,N/A,9630312701
33717,P S DHAK PURA,KASGANJ,AMAPUR,N/A,9720207701
33718,P S DHAKA,BAREILLY,MAJHGAWAN,N/A,9201007801
33719,P S DHAKA,BALLIA,RASARA,N/A,9630301801
33720,P S DHAKHA,AMBEDKAR NAGAR,BHIYAON,N/A,9480400301
33721,P S DHAKHERWA,BAHRAICH,FAKHAR PUR,N/A,9500307501
33722,P S DHAKIYA BAZAR,BAHRAICH,SHIV PUR,N/A,9500502901
33723,P S DHAKPURA,ETAH,JAITHARA,N/A,9170501701
33724,P S DHAMIPUR,BAREILLY,BAHERI,N/A,9201412001
33725,P S DHAMOHAN-I,PRATAPGARH,BABAGANJ,N/A,9430203301
33726,P S DHAMOHAN-II,PRATAPGARH,BABAGANJ,N/A,9430203302
33727,P S DHAMRJA,BALLIA,RASARA,N/A,9630313201
33728,P S DHANAIPUR SARAYBHARTI,BALLIA,RASARA,N/A,9630300120
33729,P S DHANAKAR (C),KASGANJ,SIDHPURA,N/A,9721400301
33730,P S DHANANWA,BAHRAICH,MAHSI,N/A,9500409301
33731,P S DHANAPUR,BHADOI,DEEGH,N/A,9710517601
33732,P S DHANASIA,GAUTAM BUDDHA NAGAR,JEWAR,N/A,9100409001
33733,P S DHANAU BACHCHHPATTI,BHADOI,ABHOLI,N/A,9710701001
33734,P S DHANAULI,BAHRAICH,MAHSI,N/A,9500411101
33735,P S DHANAURA,BAREILLY,ALAMPUR,N/A,9201707201
33736,P S DHANAURI 2,GAUTAM BUDDHA NAGAR,DANKAUR,N/A,9100305802
33737,P S DHANAUTI,BALLIA,MANIAR,N/A,9630704013
33738,P S DHANAUTI,DEORIA,BHLUANI,N/A,9600603306
33739,P S DHANAUTI DHURA,BALLIA,GARWAR,N/A,9631107401
33740,P S DHANAUTI SALEM,BALLIA,GARWAR,N/A,9631106901
33741,P S DHANEJA,BALLIA,PANDAH,N/A,9630607301
33742,P S DHANEWA,MAU,FATEHPUR MANDAON,N/A,9620803201
33743,P S DHANGARH,PRATAPGARH,BABAGANJ,N/A,9430203201
33744,P S DHANI KA PURA,PRATAPGARH,MANGRAURA,N/A,9431114703
33745,P S DHANIDHARA,BALLIA,BERUARBARI,N/A,9630803501
33746,P S DHANIGA,ETAH,NIDHAULI KALAN,N/A,9170908201
33747,P S DHANRAJ PUR,BAHRAICH,JARWAL,N/A,9500106801
33748,P S DHANSAR,PRATAPGARH,PATTI,N/A,9431202701
33749,P S DHANSINGH PUR,KASGANJ,SIDHPURA,N/A,9721407601
33750,P S DHANTULSI 1,BHADOI,DEEGH,N/A,9710516801
